コンデションID,コンディション名称,項目順序,コンディション項目ID,コンディション値,コンディションラベル,登録担当者,登録日付,更新担当者,更新時間
"COD_KOUZA_SYUKAN_KBN01","口座主管区分01","1","HI","0","非","lpa00","2008/07/08 11:29:32","fsol14","2009/12/02 14:55:35"
"COD_KOUZA_SYUKAN_KBN01","口座主管区分01","2","SYUKAN","1","主管","lpa00","2008/07/08 11:29:32","fsol14","2009/12/02 14:55:35"
"COD_KOUZA_SYUKAN_KBN02","口座主管区分02","1","ALL","0","全て","fsol10","2011/01/06 22:40:33","fsol10","2011/01/06 22:40:34"
"COD_KOUZA_SYUKAN_KBN02","口座主管区分02","2","SYUKAN","1","主管","fsol10","2011/01/06 22:40:33","fsol10","2011/01/06 22:40:34"
"COD_KOUZA_SYUKAN_KBN02","口座主管区分02","3","HI_SYUKAN","2","主管以外","fsol10","2011/01/06 22:40:33","fsol10","2011/01/06 22:40:34"
"COD_KOUZA_SYUKAN_KBN03","口座主管区分03","1","HI","0","","fsol10","2011/01/06 22:40:33","fsol10","2011/01/06 22:40:34"
"COD_KOUZA_SYUKAN_KBN03","口座主管区分03","2","SYUKAN","1","主管","fsol10","2011/01/06 22:40:33","fsol10","2011/01/06 22:40:34"
"COD_KURIKOSI_KBN01","繰越区分01","1","KURIKOSI_SINAI","0","繰越しない","sis05","2008/07/10 15:26:59","fsol14","2009/12/02 14:55:45"
"COD_KURIKOSI_KBN01","繰越区分01","2","KURIKOSI_SURU","1","繰越する","sis05","2008/07/10 15:26:59","fsol14","2009/12/02 14:55:45"
"COD_KYOUTEISYO_ERR_KBN01","協定書エラー区分01","1","NASHI","0","協定書エラーなし","base00","2009/01/27 17:42:59","fsol14","2009/12/02 14:55:55"
"COD_KYOUTEISYO_ERR_KBN01","協定書エラー区分01","2","MI_IN","1","協定書未入力","base00","2009/01/27 17:42:59","fsol14","2009/12/02 14:55:55"
"COD_KYOUTEISYO_ERR_KBN01","協定書エラー区分01","3","SIMEBI","2","締日相違","base00","2009/01/27 17:42:59","fsol14","2009/12/02 14:55:55"
"COD_KYOUTEISYO_ERR_KBN01","協定書エラー区分01","4","BAIKA","3","未設定売価","base00","2009/01/27 17:42:59","fsol14","2009/12/02 14:55:55"
"COD_KYOUTEISYO_ERR_KBN01","協定書エラー区分01","5","MITATU","4","協定書未達","base00","2009/01/27 17:42:59","fsol14","2009/12/02 14:55:55"
